name	Garnet_
health	70
mp 30
mprate 1
#secret 1
Falldie 2
Grabdistance 18
riseinv				0.4 1
speed	9
type	Enemy
gfxshadow	1
candamage			Player npc obstacle
JUMPHEIGHT 4
hostile Player NPC
#antigrab 2
atchain   1 1 2 3 4 5
#weapons Garnet_Knife Garnet_Sword Garnet_pipe Garnet_Kunai
icon	data/chars/Enemys/Garnet/icon.gif 1
diesound data/Sounds/DieW05.wav
running	20	3	2	1	1
onblockwscript	data/scripts/bounceF.c
#animationscript 	data/scripts/ani0020.h
animationscript		data/scripts/drago.c
ondrawscript 		data/scripts/Enemy_ondrawscript.c



#Load Garnet_Knife
#Load Garnet_Pipe
#Load Garnet_Kunai
#Load Garnet_Sword

remap data/chars/Enemys/Garnet/idle00.gif data/chars/Enemys/Garnet/MAp01.gif
remap data/chars/Enemys/Garnet/idle00.gif data/chars/Enemys/Garnet/MAp02.gif
remap data/chars/Enemys/Garnet/idle00.gif data/chars/Enemys/Garnet/MAp03.gif
remap data/chars/Enemys/Garnet/idle00.gif data/chars/Enemys/Garnet/MAp04.gif


anim Spawn
	loop	0
	delay	100
	offset	150 183
	bbox	137 102 28 82
	frame   data/chars/Enemys/Garnet/hair00.gif
		delay  20
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
	frame   data/chars/Enemys/Garnet/hair01.gif
	frame  data/chars/Enemys/Garnet/hair01.gif
	frame   data/chars/Enemys/Garnet/hair02.gif
	frame  data/chars/Enemys/Garnet/hair02.gif
